name,source,link,description,full_description
Beginner's Mind,IDEO,http://www.hcdconnect.org/toolkit/en,Beginner’s Mind is critical when entering a familiar environment without carrying assumptions with you that are based on prior experience.,Beginner’s Mind is critical when entering a familiar environment without carrying assumptions with you that are based on prior experience.
Being your users,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,A method to define the expectations of both the client and the design team at the start of a new project.,A method to define the expectations of both the client and the design team at the start of a new project.
Blueprint,MJV,http://designthinkingbook.in/wp-content/uploads/LearnByDoing_Blueprint.pdf,"A matrix created to schematize the complex interaction systems that feature service rendering, highlighting critical aspects and inherent opportunities to the business.","A matrix created to schematize the complex interaction systems that feature service rendering, highlighting critical aspects and inherent opportunities to the business."
Brainstorming,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Brainstorming is working together to help you generate ideas more quickly and effectively.,Brainstorming is working together to help you generate ideas more quickly and effectively.
Brand sheets,roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,"Is a simple tool and it is one that is always worth having in your bag or on your laptop for interviews. It is simply a sheet of logos of different products and services. The idea is to undercover what brands people use, the choices they make, and why.","Is a simple tool and it is one that is always worth having in your bag or on your laptop for interviews. It is simply a sheet of logos of different products and services. The idea is to undercover what brands people use, the choices they make, and why."
Build your team,Butterfly Works,http://butterflytoolkitno1.buildingbridges.co.ke/images/stories/Guideline/pdf/HOWTO.pdf,"In order to set up and run a successfuk campaign, you need to have a strong team.","In order to set up and run a successfuk campaign, you need to have a strong team."
Business Model Design Workbook,MaRS,http://www.marsdd.com/wp-content/uploads/2013/03/Business-Model-Process-Template.pptx,"Entrepreneurs who are in the process of designing their business model require an approach that allows them to understand if and how a value proposition can be successfully scaled up to a profitable business. The purpose of this workbook is to help you through the process of developing a comprehensive business model.

- Understand the process of designing a business model
- Complete a Business Model Canvas
- Clarify and test your business model assumptions
- Evaluate and update your business model documentation
- Develop a comprehensive business model","Entrepreneurs who are in the process of designing their business model require an approach that allows them to understand if and how a value proposition can be successfully scaled up to a profitable business. The purpose of this workbook is to help you through the process of developing a comprehensive business model.

- Understand the process of designing a business model
- Complete a Business Model Canvas
- Clarify and test your business model assumptions
- Evaluate and update your business model documentation
- Develop a comprehensive business model"
Calling for ideas,Australian Govt,http://innovation.govspace.gov.au/tools/calling-for-ideas/,"While many innovative ideas will already be circulating within agencies, an explicit call for innovative ideas can shape and channel the creative energy being put forward and help organisations meet their strategic priorities for innovation.","While many innovative ideas will already be circulating within agencies, an explicit call for innovative ideas can shape and channel the creative energy being put forward and help organisations meet their strategic priorities for innovation."
Cause and Effect Diagram,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Cause_and_Effect_Diagram_53-2.pdf,"Investigate the root causes of performance problems.  Use this tool to brainstorm and categorize the variables that might be causing poor performance in your new process, product service or solution.  Use Process Capability to determine if you are having any performance issues or defect problems that need to be solved.","Investigate the root causes of performance problems.  Use this tool to brainstorm and categorize the variables that might be causing poor performance in your new process, product service or solution.  Use Process Capability to determine if you are having any performance issues or defect problems that need to be solved."
Cause and Effect Matrix,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Cause_and_Effect_Matrix.xls,Identify the key input-output relationships in need of attention. Use this tool to determine which critical process inputs have the most impact on your process output.  You can use this tool after the Cause & Effect Diagram has been completed to determine which of the inputs (X) are causing the greatest issues.,Identify the key input-output relationships in need of attention. Use this tool to determine which critical process inputs have the most impact on your process output.  You can use this tool after the Cause & Effect Diagram has been completed to determine which of the inputs (X) are causing the greatest issues.
Causes Diagram,Design Flanders,http://www.servicedesigntoolkit.org/assets/posters/workposter_causediagram_a1.pdf,"Concentric Circles for core problem, direct causes, underlyning causes and contributing factors","Concentric Circles for core problem, direct causes, underlyning causes and contributing factors"
Character profiles,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Having character profiles visible and to hand during the design process will stimulate ideas and aid decision making. They can also help in justifying innovations to stakeholders in the project.,Having character profiles visible and to hand during the design process will stimulate ideas and aid decision making. They can also help in justifying innovations to stakeholders in the project.
Character Profiles,Roberta Tassi,http://www.servicedesigntools.org/tools/6,The character profiles is a tool for the creation of a shared knowledge about the service users inside the team.,The character profiles is a tool for the creation of a shared knowledge about the service users inside the team.
Check your goal,Frog,http://www.frogdesign.com/collective-action-toolkit,See if anything has changed about the goals you want your group to achieve.,See if anything has changed about the goals you want your group to achieve.
Choosing a sample,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Choosing a sample is a design method that helps you create a strategy to find the most appropriate or effective group of users to recruit will make the most of limited time and budget.,Choosing a sample is a design method that helps you create a strategy to find the most appropriate or effective group of users to recruit will make the most of limited time and budget.
Clarify your goal,Frog,http://www.frogdesign.com/collective-action-toolkit,"Agree on the problem you’re trying to solve and what goals you want to achieve by working together. This activity area is critical to your team’s success, as your goals may change depending on what your group learns.","Agree on the problem you’re trying to solve and what goals you want to achieve by working together. This activity area is critical to your team’s success, as your goals may change depending on what your group learns."
Client System identification,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,The identifiaction of the client system helps the adviser to realise which clients he serves and which interests he is inclined to or wishes to accomplish.  Mapping the client system helps the adviser to advance and monitor the development of the required mindset for progress.,The identifiaction of the client system helps the adviser to realise which clients he serves and which interests he is inclined to or wishes to accomplish.  Mapping the client system helps the adviser to advance and monitor the development of the required mindset for progress.
Cluster and vote,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Cluster and vote is a method to identify patterns in a problem area or in a series of ideas. This in turn will help you select solutions.,Cluster and vote is a method to identify patterns in a problem area or in a series of ideas. This in turn will help you select solutions.
co-creation workshops,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,"a transdisciplinary group of end-users,
experts, clients, and key stakeholders. Mixing different stakeholders initiates dialogues between them (e.g. a senior and a public authority, a child and a school principal etc.). In this way, users become part of the design & development team.","a transdisciplinary group of end-users,
experts, clients, and key stakeholders. Mixing different stakeholders initiates dialogues between them (e.g. a senior and a public authority, a child and a school principal etc.). In this way, users become part of the design & development team."
Community building & open design,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,"by opening up your design process and sharing it on social media platforms
such as Instructables (www.instructables.com) or other community sites, other users and designers can comment and make suggestions.","by opening up your design process and sharing it on social media platforms
such as Instructables (www.instructables.com) or other community sites, other users and designers can comment and make suggestions."
Community Characters (worksheet),IDEO,http://www.hcdconnect.org/toolkit/en,(p 166) worksheet corresponding to Excercise,(p 166) worksheet corresponding to Excercise
Community-Driven Discovery,IDEO,http://www.hcdconnect.org/toolkit/en,"In most cases, the real experts on a certain topic and those with the most insight for the Design Challenge are the people in the community or end customers.","In most cases, the real experts on a certain topic and those with the most insight for the Design Challenge are the people in the community or end customers."
Comparing notes,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Comparing notes gets messy things in order and is a useful aid to decision making.,Comparing notes gets messy things in order and is a useful aid to decision making.
Competitions and prizes,Australian Govt,http://innovation.govspace.gov.au/tools/competitions-and-prizes/,Competitions and prizes can be an effective way to bring in different skills and perspectives to a particular innovation issue or problem as well as helping build interest and participation. They can assist innovation by rewarding and honouring the person or group that develops a superior innovation in response to a given challenge.,Competitions and prizes can be an effective way to bring in different skills and perspectives to a particular innovation issue or problem as well as helping build interest and participation. They can assist innovation by rewarding and honouring the person or group that develops a superior innovation in response to a given challenge.
Concept Assessment,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"Concept assessment is used when you have an idea or product that you want to present to your designated target group. The assessment activity will provide you with information and knowledge, which can be used in the iteration of your idea or product.","Concept assessment is used when you have an idea or product that you want to present to your designated target group. The assessment activity will provide you with information and knowledge, which can be used in the iteration of your idea or product."
Conceptual map,MJV,http://designthinkingbook.in/wp-content/uploads/LearnByDoing_ConceptualMap.pdf,"Visualize objectively complex field data in different levels of deepness, allowing the extraction of new meanings for your research.","Visualize objectively complex field data in different levels of deepness, allowing the extraction of new meanings for your research."
Conjoint Analysis,BMGI,http://www.innovatorstoolkit.com/sites/innovatorstoolkit.com/files/Conjoint_Analysis_0.xls,Compare solution attributes to cull out customer preferences. Use this technique to determine the best combination of attributes to include in your product or service design based on the tradeoffs customers are willing to make.,Compare solution attributes to cull out customer preferences. Use this technique to determine the best combination of attributes to include in your product or service design based on the tradeoffs customers are willing to make.
Context Mapping,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,Context mapping comprises tools and techniques for gathering and visualising user experiences.,Context mapping comprises tools and techniques for gathering and visualising user experiences.
Contextual Inquiry,Giulia Piu,http://www.businessdesigntools.com/2012/01/contextual-inquiry/,"Contextual Inquiry is an ethnographic interviewing technique that mix observation with interviews in real context. This methodology was first theorized by Hugh Beyer and Karen Holtzblatt who enumerated four basic principles for running this type of research:

- Users should be interviewed in the context where the activity happens.

- It's important to have an 'apprentice attitude' and treat the interviewed as the 'expert'

- Designers should always verify their assumptions with users","Contextual Inquiry is an ethnographic interviewing technique that mix observation with interviews in real context. This methodology was first theorized by Hugh Beyer and Karen Holtzblatt who enumerated four basic principles for running this type of research:

- Users should be interviewed in the context where the activity happens.

- It's important to have an 'apprentice attitude' and treat the interviewed as the 'expert'

- Designers should always verify their assumptions with users"
Contextual interviews,This is Service Design Thinking,http://thisisservicedesignthinking.com/,"They are conducted in the environment, or context, in which the service process of interest occurs.","They are conducted in the environment, or context, in which the service process of interest occurs."
Coverage Matrix,MDF Training and Consultancy,http://assets.sportanddev.org/downloads/coverage_matrix.pdf,A coverage matrix is a tool that helps to determine which actors in the institutional setting are active in what way. Three different types of coverage matrixes each describe the match between two dimensions.,A coverage matrix is a tool that helps to determine which actors in the institutional setting are active in what way. Three different types of coverage matrixes each describe the match between two dimensions.
Create a story world,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,Creating a storyworld or persona helps a team focus on the people who are part of a service in all their diversity. The process of creating and using storyworlds also encourages the kind of creative thinking needed to generate new ideas for your service.,Creating a storyworld or persona helps a team focus on the people who are part of a service in all their diversity. The process of creating and using storyworlds also encourages the kind of creative thinking needed to generate new ideas for your service.
Create a story world Template,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,Use this to help you describe the user and their world,Use this to help you describe the user and their world
Criteria for judgment,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,This tool provides three sets of key criteria for judgement.,This tool provides three sets of key criteria for judgement.
"CTRL-C, CTRL-V",Manuel Sturm (www.modelminds.nl) & Manuel Bollue (www.manuelbollue.com),http://blog.modelminds.nl/?p=7576,Some things cannot be solved when you stay too close to your challenge; you cannot see the way out of the forest when standing in the middle.,Some things cannot be solved when you stay too close to your challenge; you cannot see the way out of the forest when standing in the middle.
Cultural probe,MJV,http://designthinkingbook.co.uk/,Collect data of your target audience in their context and with the least interference possible. Get to know yearnings and expectations that support relevant decision-making and prepare the user to collaborative sessions. Learn by watching the explanatory video.,Collect data of your target audience in their context and with the least interference possible. Get to know yearnings and expectations that support relevant decision-making and prepare the user to collaborative sessions. Learn by watching the explanatory video.
Cultural Probes,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,a direct way to get insights into user thought,a direct way to get insights into user thought
Cultural probes,Giulia Piu,http://www.businessdesigntools.com/2011/12/cultural-probes/,"Cultural Probes are tools developed in 1999 by Bill Gaver, Tony Dunne and Elena Pacenti, that allows to collect information about consumers and their environment that can't be found with observation and interviews. They are packs of tools such as diary, cameras and maps, that are given to participants during the research stage and are left with them over a period of time. This packs contains instructions and tools designed specifically to engage participants in the research and are often more image than text based. When packs are handed back, designers analyse the results and often generate Personas or Storyboard based on the findings.","Cultural Probes are tools developed in 1999 by Bill Gaver, Tony Dunne and Elena Pacenti, that allows to collect information about consumers and their environment that can't be found with observation and interviews. They are packs of tools such as diary, cameras and maps, that are given to participants during the research stage and are left with them over a period of time. This packs contains instructions and tools designed specifically to engage participants in the research and are often more image than text based. When packs are handed back, designers analyse the results and often generate Personas or Storyboard based on the findings."
Cultural probes,This is Service Design Thinking,http://thisisservicedesignthinking.com/,"Information gatheting packages, based around the principle of user-participation via self-documentation","Information gatheting packages, based around the principle of user-participation via self-documentation"
Customer Journey Map,Roberta Tassi,http://www.servicedesigntools.org/tools/8,The customer journey map is an oriented graph that describes the journey of a user by representing the different touchpoints that characterize his interaction with the service.,The customer journey map is an oriented graph that describes the journey of a user by representing the different touchpoints that characterize his interaction with the service.
Customer journey mapping,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,"A User Journey Map is a visual representation of a user’s journey through a service, showing all the different interactions they have. This allows us to see what parts of the service work for the user (magic moments) and what parts might need improving (pain points). A User Journey Map takes the users point of view and explains their actual experience of the service.","A User Journey Map is a visual representation of a user’s journey through a service, showing all the different interactions they have. This allows us to see what parts of the service work for the user (magic moments) and what parts might need improving (pain points). A User Journey Map takes the users point of view and explains their actual experience of the service."
Customer journey maps,This is Service Design Thinking,http://files.thisisservicedesignthinking.com/tisdt_cujoca.pdf,"The Canvas has been developed to support you when designing services. You can use it not only for yourself to get a quick overview of certain service processes, but also with providers for a self—portrayal and with customers and other stakeholders to explore and evaluate services.","The Canvas has been developed to support you when designing services. You can use it not only for yourself to get a quick overview of certain service processes, but also with providers for a self—portrayal and with customers and other stakeholders to explore and evaluate services."
Customer Segmentation,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"The target group segmentation is useful in documenting your visits and talks with various target groups that could become potential consumers. Upon returning from the rapid market assessment, the segmentation will help you decipher between different groups.","The target group segmentation is useful in documenting your visits and talks with various target groups that could become potential consumers. Upon returning from the rapid market assessment, the segmentation will help you decipher between different groups."
"CUSTOMERS
AND END- USERS","DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,Select your customers and/ or end-users and understand when people are willing to pay to solve a need.,Select your customers and/ or end-users and understand when people are willing to pay to solve a need.
Day in the Life,RCA,http://designingwithpeople.rca.ac.uk/methods/day-in-the-life,"A study in which the designer follows the subject through a typical day, observing and recording events to build up a realistic picture of what actually happens.","A study in which the designer follows the subject through a typical day, observing and recording events to build up a realistic picture of what actually happens."
Deep Dialogue,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"Deep dialogue is vital when arriving to an emerging market, as it supports the first contact with your target group. This activity assists in “getting the ball rolling” as the interviews and contacts you make are bound to spread and grow.","Deep dialogue is vital when arriving to an emerging market, as it supports the first contact with your target group. This activity assists in “getting the ball rolling” as the interviews and contacts you make are bound to spread and grow."
Deep Dialogue,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,Deep dialogue is very useful in collecting the insights of people regarding their perception of a product and whether they would actually pay for it. The activity is important in determining if the company can offer anything of commercial value to potential end-users.,Deep dialogue is very useful in collecting the insights of people regarding their perception of a product and whether they would actually pay for it. The activity is important in determining if the company can offer anything of commercial value to potential end-users.
Define your problem,Frog,http://www.frogdesign.com/collective-action-toolkit,Define the problem your group wants to tackle and establish key questions to answer along the way.,Define the problem your group wants to tackle and establish key questions to answer along the way.
Depth interviews,Roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,"They are long, in-context interviews that tend to be fairly open in structure","They are long, in-context interviews that tend to be fairly open in structure"
Describe drivers of change,Lucy Kimbell and Joe Julier,http://www.lucykimbell.com/stuff/Fieldstudio_SocialDesignMethodsMenu.pdf,To understand the key issues shaping the wider world which may have an impact on your service or organisation in the coming years. Identifies why a service redesign or new approach might be necessary and provides some detail on what the key prompts for change might be.,To understand the key issues shaping the wider world which may have an impact on your service or organisation in the coming years. Identifies why a service redesign or new approach might be necessary and provides some detail on what the key prompts for change might be.
Design Probe,RCA,http://designingwithpeople.rca.ac.uk/methods/design-probe,"A research kit is prepared by the designer and given to users to record aspects of their lives autonomously, independent of the designer. The design probe may include diaries, question cards, postcards, disposable cameras or other tools for mapping and drawing.","A research kit is prepared by the designer and given to users to record aspects of their lives autonomously, independent of the designer. The design probe may include diaries, question cards, postcards, disposable cameras or other tools for mapping and drawing."
Designing Value Proposition,"DIBD,
BoP Learning Lab, 
Design with People",http://di.dk/SiteCollectionDocuments/DIBD/Market%20Creation%20Toolbox.pdf,"Designing the value proposition to include the potential customer in the design of your product or service. Prepare different materials, such as pictures or prototypes, to facilitate feedback from the target group. Recognize the importance of an open- ended value proposition where people develop their own perception of the product’s value.","Designing the value proposition to include the potential customer in the design of your product or service. Prepare different materials, such as pictures or prototypes, to facilitate feedback from the target group. Recognize the importance of an open- ended value proposition where people develop their own perception of the product’s value."
Desk research,MJV,http://designthinkingbook.co.uk/,It is a search for information on the project theme from various source.,It is a search for information on the project theme from various source.
Diagnostic,Australian Govt,http://innovation.govspace.gov.au/tools/diagnostic-tool/,"Given agencies’ varying circumstances, a simple diagnostic tool has been developed so that they can access where they should priorities their efforts. The diagnostic will identify areas that your organisation should prioritise their efforts and suggest innovation tools that may aid your organisation in achieving better outcomes.","Given agencies’ varying circumstances, a simple diagnostic tool has been developed so that they can access where they should priorities their efforts. The diagnostic will identify areas that your organisation should prioritise their efforts and suggest innovation tools that may aid your organisation in achieving better outcomes."
Diaries,Roselfeld - Book,http://rosenfeldmedia.com/books/service-design/,Diaries are used to ask people to docuemtn an event or period of time,Diaries are used to ask people to docuemtn an event or period of time
Diversity Mapping,Giulia Piu,http://www.businessdesigntools.com/2011/12/diversity-mapping/,"Diversity Mapping allows to map a context and analyse it, by observing and then explore the relationships between what has been observed. The first step is about generation Diversity Cards which are cards that analyse four level of diversity of a space:

- Cultural diversities
- Ecological diversities
- Economical diversities
- Social diversities","Diversity Mapping allows to map a context and analyse it, by observing and then explore the relationships between what has been observed. The first step is about generation Diversity Cards which are cards that analyse four level of diversity of a space:

- Cultural diversities
- Ecological diversities
- Economical diversities
- Social diversities"
Doodling,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,"an unfocused drawing or sketch, like cartoons, or simply patterns and shapes that are made
while thinking or daydreaming","an unfocused drawing or sketch, like cartoons, or simply patterns and shapes that are made
while thinking or daydreaming"
Drama Triangle,MDF Consultancy,http://www.toolkitsportdevelopment.org/html/resources/EB/EBDBD958-A1F5-43A1-8E73-E5EDF613AAFD/Tango%20ID-OS%20Toolkit%20CD-Rom%20MDF.pdf,"The drama triangle is a simple model to analyse whether or not clients and consultatn relate to each other in a mature and autonomous manner.  Whereas the organisational learning cycle examins whether the clients are mentallly ready for the next step, the tool at hand determines whether the clients and/or consultant (subconsciously) attempt to manipulate each other, and suggest ways to escape this 'drama'.","The drama triangle is a simple model to analyse whether or not clients and consultatn relate to each other in a mature and autonomous manner.  Whereas the organisational learning cycle examins whether the clients are mentallly ready for the next step, the tool at hand determines whether the clients and/or consultant (subconsciously) attempt to manipulate each other, and suggest ways to escape this 'drama'."
Drivers and hurdles,Design Council,http://www.designcouncil.org.uk/about-design/how-designers-work/design-methods/,Drivers and hurdles helps you identify where to concentrate energies for most effect in the next stages of your project.,Drivers and hurdles helps you identify where to concentrate energies for most effect in the next stages of your project.
Empathetic Conversations,Waag Society,http://waag.org/sites/waag/files/public/Publicaties/Users_as_Designers.pdf,"Empathic Conversations (Raijmakers 2009) are a way of building relationships between a design team and the future users of their designs; an ongoing process, with an open, empathic and intuitive approach.","Empathic Conversations (Raijmakers 2009) are a way of building relationships between a design team and the future users of their designs; an ongoing process, with an open, empathic and intuitive approach."
Empathy map,MJV,http://designthinkingbook.co.uk/,"It is a tool for the synthesis of information on the client through visualisation of what he says, does, thinks and feels","It is a tool for the synthesis of information on the client through visualisation of what he says, does, thinks and feels"
Empathy Tool,RCA,http://designingwithpeople.rca.ac.uk/methods/empathy-tool,"The designer uses a simulation device to gain first-hand insights into particular impairments or disabilities, for example clouded glasses to simulate sight loss or weighted gloves to reduce dexterity.","The designer uses a simulation device to gain first-hand insights into particular impairments or disabilities, for example clouded glasses to simulate sight loss or weighted gloves to reduce dexterity."
Enhanced empathy map,Manuel Sturm (www.modelminds.nl) & Manuel Bollue (www.manuelbollue.com),http://blog.modelminds.nl/?p=7576,Who do we work for? What does this person really need? Do we really understand him/her?,Who do we work for? What does this person really need? Do we really understand him/her?
Entrepreneur Self-Portrait,Giulia Piu,http://www.businessdesigntools.com/wp-content/uploads/2011/12/017.jpg,This exercise allows entrepreneurs to reflect on themselves and understand why they want to be 'entrepreneurs'. The tool will also help them communicating who they are to others and will help them make decision in the future when their business will require strategic decisions that have an impact on their persona. The exercise should be done individually but it could be also used in a 'speed networking session' where entrepreneurs will be able to identify other entrepreneurs with similar values and dreams quickly.,This exercise allows entrepreneurs to reflect on themselves and understand why they want to be 'entrepreneurs'. The tool will also help them communicating who they are to others and will help them make decision in the future when their business will require strategic decisions that have an impact on their persona. The exercise should be done individually but it could be also used in a 'speed networking session' where entrepreneurs will be able to identify other entrepreneurs with similar values and dreams quickly.
